state,action,next_state
24.87,0,24.5
24.5,0,24.5
24.5,0,24.56
24.56,0,24.56
24.56,[0.39488518],24.5
24.5,[0.39488518],24.19
24.19,[0.39488518],23.81
23.81,[0.39488518],23.44
23.44,[0.39488518],23.06
23.06,[0.39488518],22.69
22.69,[0.39488518],22.31
22.31,[0.39488518],22.0
22.0,[0.39488518],21.56
21.56,[0.39488518],21.19
21.19,[0.39488518],20.81
20.81,[0.39488518],20.44
20.44,[0.39488518],20.12
20.12,-1,20.12
20.12,-1,20.94
20.94,-1,22.06
22.06,-1,23.25
23.25,[-0.15870509],24.12
24.12,[-0.15870509],24.56
24.56,[0.4576441],24.62
24.62,[0.4576441],24.25
24.25,[0.4576441],23.81
23.81,[0.4576441],23.44
23.44,[0.4576441],23.0
23.0,[0.00508957],22.75
22.75,[0.00508957],22.81
22.81,[-0.2600547],22.94
22.94,[-0.2600547],23.25
23.25,[-0.2600547],23.62
23.62,[0.00628486],23.81
23.81,[0.00628486],23.87
23.87,[0.00628486],24.0
24.0,[0.00628486],24.0
24.0,[0.00628486],24.06
24.06,[0.00628486],24.12
24.12,[0.00628486],24.19
24.19,-1,24.44
24.44,[0.1957998],25.12
25.12,[0.1957998],25.12
25.12,[0.1957998],24.87
24.87,[-0.11986179],24.87
24.87,[0.41643426],24.94
24.94,[0.41643426],24.56
24.56,[0.41643426],24.25
24.25,[0.41643426],23.87
23.87,[0.41643426],23.44
23.44,[0.41643426],23.0
23.0,[0.41643426],22.62
22.62,-1,22.69
22.69,-1,23.56
23.56,1,24.25
24.25,-1,24.06
24.06,[0.21650005],24.56
24.56,[0.21650005],24.56
24.56,-1,24.56
24.56,1,24.94
24.94,1,24.19
24.19,1,23.06
23.06,1,22.06
22.06,[0.3804406],21.25
21.25,[0.3804406],20.75
20.75,[0.3804406],20.37
20.37,[0.3804406],20.0
20.0,[0.3804406],19.62
19.62,[0.3804406],19.31
19.31,[0.55678211],18.87
18.87,1,18.19
18.19,-1,17.56
17.56,-1,18.44
18.44,-1,19.56
19.56,1,20.12
20.12,1,19.25
19.25,1,18.12
18.12,-1,17.62
17.62,-1,18.56
18.56,-1,19.69
19.69,1,20.25
20.25,-1,19.81
19.81,-1,20.69
20.69,-1,21.75
21.75,-1,22.87
22.87,-1,23.87
23.87,-1,25.0
25.0,-1,26.12
26.12,-1,27.12
27.12,-1,28.12
28.12,-1,29.19
29.19,-1,30.12
30.12,[0.78692716],30.75
30.75,[0.78692716],30.19
30.19,[0.78692716],29.37
29.37,[0.78692716],28.62
28.62,-1,28.31
28.31,-1,29.19
29.19,-1,30.19
30.19,-1,31.19
31.19,[0.00126635],31.81
31.81,[0.00126635],31.94
31.94,[0.00126635],31.94
31.94,[0.00126635],31.94
31.94,[0.62699164],31.87
31.87,-1,31.62
31.62,1,31.94
31.94,1,31.19
31.19,-1,30.5
30.5,-1,31.25
31.25,-1,32.31
32.31,-1,33.31
33.31,-1,34.19
34.19,-1,35.25
35.25,-1,36.31
36.31,1,36.81
36.81,1,36.0
36.0,1,34.94
34.94,1,34.06
34.06,1,33.06
33.06,-1,32.56
32.56,-1,33.31
33.31,-1,34.25
34.25,-1,35.25
35.25,-1,36.31
36.31,-1,37.44
37.44,-1,38.38
38.38,-1,39.44
39.44,-1,40.5
40.5,-1,41.5
41.5,-1,42.69
42.69,-1,43.69
43.69,[0.33217994],44.56
44.56,[0.33217994],44.44
44.44,-1,44.38
44.38,-1,45.25
45.25,-1,46.38
46.38,[-0.59041617],47.25
47.25,[-0.59041617],47.94
47.94,[0.01167545],48.38
48.38,[0.01167545],48.38
48.38,1,48.19
48.19,1,47.25
47.25,[-0.49204383],46.69
46.69,[0.00010629],46.88
46.88,-1,47.19
47.19,-1,48.0
48.0,-1,49.13
49.13,-1,50.13
50.13,1,50.56
50.56,1,49.69
49.69,1,48.63
48.63,1,47.69
47.69,1,46.69
46.69,1,45.63
45.63,1,44.63
44.63,1,43.56
43.56,1,42.44
42.44,1,41.5
41.5,1,40.38
40.38,1,39.44
39.44,[0.00474642],38.69
38.69,[0.00474642],38.63
38.63,[0.00474642],38.63
38.63,[0.00474642],38.63
38.63,[0.00474642],38.63
38.63,[0.00474642],38.69
38.69,[0.00474642],38.69
38.69,[-0.50009593],38.75
38.75,[-0.20516074],39.06
39.06,[-0.20516074],39.31
39.31,[-0.20516074],39.56
39.56,[0.21864017],39.63
39.63,[0.21864017],39.5
39.5,[0.21864017],39.31
39.31,[-0.00038383],39.25
39.25,1,39.06
39.06,1,38.19
38.19,1,37.19
37.19,1,36.13
36.13,1,35.13
35.13,[0.08442716],34.44
34.44,[0.08442716],34.25
34.25,[0.08442716],34.25
34.25,[0.08442716],34.25
34.25,[0.08442716],34.19
